,number,value,datetime_start,datetime_complete,duration,params_clf__gamma,params_clf__learning_rate,params_clf__max_delta_step,params_clf__max_depth,params_clf__min_child_weight,params_clf__n_estimators,params_clf__reg_alpha,params_clf__reg_lambda,params_clf__scale_pos_weight,state
54,54,0.8732077800785062,2024-08-30 18:45:42.162071,2024-08-30 19:13:19.735738,0 days 00:27:37.573667,0.5137256058579236,0.04172511310858749,11.287754872774663,20,11.444107476602179,150,2.202338661983893,0.0029974517656885793,3.8283008341674196,COMPLETE
55,55,0.9243187950028403,2024-08-30 19:13:19.736487,2024-08-30 19:28:01.340461,0 days 00:14:41.603974,0.10073864603900445,0.9259754116865476,19.929630624859946,21,2.8992843042948553,150,3.345045710410999,0.00634562499795743,1.027130983534878,COMPLETE
56,56,0.9276238622200133,2024-08-30 19:28:01.341144,2024-08-30 19:40:06.024434,0 days 00:12:04.683290,0.08712039246633001,0.8422995077661657,19.51455636172035,21,2.728136030983595,100,3.418846000139044,0.0037198786062724405,1.00105997756801,COMPLETE
57,57,0.88005021153197,2024-08-30 19:40:06.025074,2024-08-30 19:47:43.345489,0 days 00:07:37.320415,1.127043700283028,1.6463791029148345,18.64991176842439,24,4.689447653067792,100,17.726227169861744,0.003845673480906633,2.4022260426563067,COMPLETE
58,58,0.920734090673153,2024-08-30 19:47:43.346138,2024-08-30 20:03:11.127059,0 days 00:15:27.780921,0.11854595941606624,0.5024996175758499,15.303061474489132,18,1.7405131549848043,100,0.23549944364654452,0.01831220507018128,3.604998414273504,COMPLETE
59,59,0.16024386574758473,2024-08-30 20:03:11.127722,2024-08-30 20:06:30.221528,0 days 00:03:19.093806,0.07592315021233373,3.1227714220857785,7.7123098686462885,19,9.108055713173295,50,1.091218991977372,0.0019351335532078924,5.148835951576858,COMPLETE
60,60,0.9344837099670741,2024-08-30 20:06:30.222109,2024-08-30 20:21:03.629663,0 days 00:14:33.407554,0.2048529912948951,0.26813581731358194,16.856277030980348,22,2.8860209535458434,100,7.102882621325098,0.01194161717235877,1.0051274405925064,COMPLETE
61,61,0.16708220326289547,2024-08-30 20:21:03.630300,2024-08-30 20:26:07.725645,0 days 00:05:04.095345,0.19911629184914842,5.221477102690398,17.190997748524733,22,2.740565983651876,100,12.35656428034187,0.010287889575915112,2.0805211993965598,COMPLETE
62,62,0.928898806688251,2024-08-30 20:26:07.726250,2024-08-30 20:37:56.286101,0 days 00:11:48.559851,0.39903742411265486,0.28456105466032644,18.9727820750494,21,4.228508155174434,100,7.052940387054556,0.004029673981432077,1.1237994414762014,COMPLETE
63,63,0.9007444049182781,2024-08-30 20:37:56.286731,2024-08-30 21:00:11.473808,0 days 00:22:15.187077,0.45366847801217247,0.1046497360016857,19.134148553812018,24,4.239280058934949,100,6.395906166468813,0.0039905569345050195,2.9332244598932764,COMPLETE
64,64,0.9284760403626918,2024-08-30 21:00:11.474528,2024-08-30 21:10:39.325697,0 days 00:10:27.851169,0.15646897254951472,0.7042807722416075,19.931385133460864,21,4.760724426414944,100,7.960341344075075,0.002391454640616762,1.0937681940420982,COMPLETE
65,65,0.8440974505885054,2024-08-30 21:10:39.326365,2024-08-30 21:26:48.156812,0 days 00:16:08.830447,1.7828440349896881,0.22794119623129186,16.69461384171738,23,6.069306287795223,100,6.7220153515004375,15.965268139798551,6.03416476942639,COMPLETE
66,66,0.872893701193051,2024-08-30 21:26:48.157470,2024-08-30 21:35:09.429112,0 days 00:08:21.271642,0.8284789396593469,1.2809456576008698,18.260030007269428,21,4.675008284223879,100,8.560882591189465,0.0023137772910574654,3.2754435681516743,COMPLETE
67,67,0.8689929916744904,2024-08-30 21:35:09.429744,2024-08-30 21:42:35.282733,0 days 00:07:25.852989,0.16074150546468077,0.5517536545170639,17.96239092043802,22,12.316713210837118,50,4.12956926680171,0.0013909107813124722,4.2708418115008815,COMPLETE
68,68,0.3441408326325916,2024-08-30 21:42:35.283356,2024-08-30 21:48:38.470796,0 days 00:06:03.187440,0.23110053947883433,2.085549994633486,19.951170005959817,20,1.8525190022005082,100,0.8507481969540183,0.004709300821000167,2.5798398499407513,COMPLETE
69,69,0.9094938228715833,2024-08-30 21:48:38.471446,2024-08-30 21:58:55.650879,0 days 00:10:17.179433,0.44317419151224197,0.3433395814171988,9.92278954680222,24,7.4554524460967775,100,13.347650354706502,0.032500118082706274,1.5994053819589396,COMPLETE
70,70,0.9385953110712717,2024-08-30 21:58:55.651592,2024-08-30 22:12:41.378143,0 days 00:13:45.726551,1.407532942021608,0.13295104606480265,15.91064646680339,21,4.318172110350773,100,1.181032522345418,0.010729177942195743,1.0084966549689358,COMPLETE
71,71,0.9269753680358614,2024-08-30 22:12:41.378808,2024-08-30 22:25:18.778078,0 days 00:12:37.399270,3.021505080731007,0.1558073718900001,16.138422386054124,21,4.158714393411341,100,1.1599106306516977,0.012669462642078721,1.5593979053118945,COMPLETE
72,72,0.9348314038668417,2024-08-30 22:25:18.778734,2024-08-30 22:39:57.324201,0 days 00:14:38.545467,0.3785842476384822,0.12241343456246949,17.797792810358818,22,5.629810717538399,100,2.891395701482577,0.005680810947265254,1.0524672305582352,COMPLETE
73,73,0.8933072189860661,2024-08-30 22:39:57.324845,2024-08-30 22:57:14.471925,0 days 00:17:17.147080,1.5836084887811197,0.056861603120041,17.488949165547467,23,10.4919275500829,100,2.4332056791129255,0.009243281262807632,2.4230724114501268,COMPLETE
74,74,0.9148275162807886,2024-08-30 22:57:14.472599,2024-08-30 23:08:43.453855,0 days 00:11:28.981256,1.3107917636837731,0.10172882207546873,15.121157194180109,22,6.312989966723902,50,1.6868531255569368,0.01918826763032179,2.032541267226249,COMPLETE
75,75,0.8150933480990359,2024-08-30 23:08:43.454543,2024-08-30 23:20:51.862939,0 days 00:12:08.408396,18.609146516333034,0.033518084357521925,18.27541656762678,19,15.82772074064219,100,0.5391332984112909,0.005559464317749988,3.2573533227561775,COMPLETE
76,76,0.9274857236538191,2024-08-30 23:20:51.863568,2024-08-30 23:36:05.234064,0 days 00:15:13.370496,0.8576152232301226,0.27242067845876256,11.896844545749085,17,2.4872635484345293,150,2.992495791266675,0.013422051423084166,1.5242109166553137,COMPLETE
77,77,0.9218407163006441,2024-08-30 23:36:05.234709,2024-08-30 23:48:57.311502,0 days 00:12:52.076793,0.3194228852950693,0.017012764921556435,16.608623690480805,6,0.03566127701931109,100,4.253978079833901,0.0032469271516494497,1.0164198159348918,COMPLETE
78,78,0.9088632441118417,2024-08-30 23:48:57.312132,2024-08-31 00:07:14.346058,0 days 00:18:17.033926,5.889901837177964,0.1333385907979824,14.643993024825956,20,1.5741984160511842,150,1.1653039966926326,0.026341274760139782,2.7097041442367047,COMPLETE
79,79,0.8870847542013389,2024-08-31 00:07:14.346704,2024-08-31 00:20:15.865980,0 days 00:13:01.519276,0.392135167091446,0.1821435517852314,15.84252177970056,23,7.103169841167292,100,19.327159652885538,0.006580436975051056,2.01336583341275,COMPLETE
80,80,0.8906565061606755,2024-08-31 00:20:15.866636,2024-08-31 00:45:09.090916,0 days 00:24:53.224280,2.80213117456376,0.051563859588873495,12.71172529596694,22,8.83694513021718,150,0.7829342072595868,0.008005971142220255,3.3565878021435744,COMPLETE
81,81,0.9232966044384776,2024-08-31 00:45:09.091566,2024-08-31 00:57:12.492679,0 days 00:12:03.401113,0.16459330642328288,0.38464633294682815,19.306477210819214,20,4.93619674125243,100,7.100533933545205,0.0020902485953710483,1.381682332455966,COMPLETE
82,82,0.930978082101546,2024-08-31 00:57:12.493327,2024-08-31 01:07:27.007486,0 days 00:10:14.514159,0.2112855300083259,0.6956979489041952,18.87179576673774,21,3.5192051680935377,100,10.773293586672231,0.0027753184114246436,1.0137485371471011,COMPLETE
83,83,0.9132157392578004,2024-08-31 01:07:27.008103,2024-08-31 01:28:16.862556,0 days 00:20:49.854453,0.5476739787153313,0.09242104768585446,17.774382545625247,21,3.708598026220979,100,5.408721750537724,0.0014596621219830316,2.2560533596114585,COMPLETE
84,84,0.9025587991464842,2024-08-31 01:28:16.863248,2024-08-31 01:57:33.191228,0 days 00:29:16.327980,0.26042777535673484,0.0208564738236616,18.35501738423355,19,2.2379364965391533,100,10.285323473075847,0.005093417329865409,1.5788711249110934,COMPLETE
