2024-09-16 23:40:44 INFO     A new study created in RDB with name: xgboost-study1
2024-09-16 23:40:44 INFO     START OPTUNA OPTIMIZATION...
2024-09-17 01:45:15 INFO     Trial 29 finished with value: 0.6343220652182815 and parameters: {'clf__max_delta_step': 83.8217411458034, 'clf__max_depth': 7, 'clf__reg_lambda': 15.94816750183416, 'clf__gamma': 31.85661538335754, 'clf__min_child_weight': 39.48278859455062, 'clf__reg_alpha': 3.0753720606851793, 'clf__learning_rate': 0.5948440165239163, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:48:37 INFO     Trial 30 finished with value: 0.8660125060559485 and parameters: {'clf__max_delta_step': 74.08827704452932, 'clf__max_depth': 4, 'clf__reg_lambda': 26.562258973006116, 'clf__gamma': 0.5268452665561184, 'clf__min_child_weight': 18.42070415514152, 'clf__reg_alpha': 18.262494348700333, 'clf__learning_rate': 1.0416077449027488, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:52:33 INFO     Trial 31 finished with value: 0.8643276070293922 and parameters: {'clf__max_delta_step': 72.79704400888615, 'clf__max_depth': 4, 'clf__reg_lambda': 31.497048313018638, 'clf__gamma': 0.19234223422053426, 'clf__min_child_weight': 20.363268580102886, 'clf__reg_alpha': 18.39407929267138, 'clf__learning_rate': 0.3085049518881346, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:55:34 INFO     Trial 32 finished with value: 0.855122320611726 and parameters: {'clf__max_delta_step': 74.0263653874853, 'clf__max_depth': 3, 'clf__reg_lambda': 27.84060993664331, 'clf__gamma': 3.471676789772277, 'clf__min_child_weight': 17.74300466357467, 'clf__reg_alpha': 18.71049764896985, 'clf__learning_rate': 1.0375153616586958, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 01:58:30 INFO     Trial 33 finished with value: 0.15723800181341552 and parameters: {'clf__max_delta_step': 78.19443382183893, 'clf__max_depth': 2, 'clf__reg_lambda': 26.692488665934533, 'clf__gamma': 4.948527099577301, 'clf__min_child_weight': 11.426472231155092, 'clf__reg_alpha': 17.858569687475597, 'clf__learning_rate': 4.963755158865028, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:02:07 INFO     Trial 34 finished with value: 0.8323195936577903 and parameters: {'clf__max_delta_step': 64.69900030750345, 'clf__max_depth': 4, 'clf__reg_lambda': 31.460566085939316, 'clf__gamma': 0.35328057326522616, 'clf__min_child_weight': 20.02747125700044, 'clf__reg_alpha': 25.789860658280418, 'clf__learning_rate': 0.3394279067230553, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:05:08 INFO     Trial 35 finished with value: 0.7519788053222606 and parameters: {'clf__max_delta_step': 73.99431513727663, 'clf__max_depth': 6, 'clf__reg_lambda': 34.355538649830194, 'clf__gamma': 8.07001972316305, 'clf__min_child_weight': 24.770543430402647, 'clf__reg_alpha': 20.601451427937405, 'clf__learning_rate': 1.3979728690497935, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:08:03 INFO     Trial 36 finished with value: 0.1628235534988588 and parameters: {'clf__max_delta_step': 93.43610909878633, 'clf__max_depth': 2, 'clf__reg_lambda': 18.3434448707305, 'clf__gamma': 9.482784637051244, 'clf__min_child_weight': 12.246976404525522, 'clf__reg_alpha': 16.721187931474553, 'clf__learning_rate': 3.9057103949727203, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:12:08 INFO     Trial 37 finished with value: 0.6780423955094594 and parameters: {'clf__max_delta_step': 51.06988388329913, 'clf__max_depth': 5, 'clf__reg_lambda': 22.548802887479624, 'clf__gamma': 15.638722649909175, 'clf__min_child_weight': 6.4170316188896095, 'clf__reg_alpha': 23.874086233456175, 'clf__learning_rate': 0.08681437058225172, 'clf__grow_policy': 'depthwise'}. Best is trial 18 with value: 0.8693802238609705.
2024-09-17 02:15:15 INFO     Trial 38 finished with value: 0.4912104329647623 and parameters: {'clf__max_delta_step': 0.7435604929242032, 'clf__max_depth': 3, 'clf__reg_lambda': 30.56824640349331, 'clf__gamma': 35.26030012493933, 'clf__min_child_weight': 23.154451959523982, 'clf__reg_alpha': 5.154672475704916, 'clf__learning_rate': 7.753307276197152, 'clf__grow_policy': 'lossguide'}. Best is trial 18 with value: 0.8693802238609705.
